id,emotion,visual,space
209,lively,bright,spacious
210,chic,bright,spacious
211,cozy,bright,spacious
212,lively,warm,spacious
213,lively,dark,spacious
214,cozy,dark,private
215,lively,warm,spacious
216,chic,warm,private
217,cozy,bright,spacious
218,lively,bright,compact
219,lively,bright,compact
220,cozy,cool,compact
221,lively,bright,spacious
222,chic,bright,spacious
223,chic,warm,private
224,cozy,bright,spacious
225,chic,cool,private
226,chic,bright,spacious
227,cozy,bright,spacious
228,lively,dark,spacious
229,chic,bright,private
230,lively,bright,private
231,lively,dark,spacious
232,chic,bright,spacious
233,chic,bright,spacious
234,lively,bright,compact
235,cozy,dark,private
236,lively,dark,compact
237,chic,bright,spacious
238,chic,dark,private
239,cozy,warm,compact
240,chic,cool,spacious
241,cozy,warm,private
242,chic,warm,private
243,cozy,cool,compact
244,chic,cool,compact
245,cozy,cool,spacious
246,cozy,warm,spacious
247,chic,bright,spacious
248,cozy,warm,private
249,cozy,cool,compact
250,chic,bright,spacious
251,lively,bright,spacious
252,chic,bright,private
253,chic,bright,spacious
254,chic,cool,spacious
255,chic,warm,private
256,lively,bright,compact
257,chic,bright,spacious
258,lively,bright,private
259,chic,dark,spacious
260,cozy,dark,private
261,cozy,warm,compact
262,chic,dark,spacious
263,chic,warm,private
264,chic,bright,private
265,cozy,dark,private
266,cozy,bright,private
267,cozy,bright,compact
268,cozy,warm,spacious
269,chic,dark,private
270,chic,dark,private
271,cozy,warm,private
272,chic,dark,spacious
273,cozy,warm,private
274,cozy,bright,private
275,cozy,bright,compact
276,chic,dark,private
277,chic,dark,private
278,cozy,bright,private
279,cozy,warm,private
280,lively,bright,private
281,cozy,warm,private
282,chic,bright,private
283,cozy,bright,private
284,chic,dark,private
285,cozy,dark,compact
286,lively,bright,compact
287,chic,cool,private
288,cozy,warm,spacious
289,lively,bright,compact
290,cozy,cool,private
291,chic,bright,spacious
292,cozy,dark,compact
293,cozy,bright,spacious
